Old,Year,New,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-property-management/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-research-methods/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/package-size-reduction-without-proportionate-price-cuts/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/pay-information-from-the-treasury-for-all-departments/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/people-who-currently-have-pre-release-access-to-government-statistics/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/press-office-enquiries-in-welsh/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/public-sector-finances-technical-advisory-group/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/quarterly-income--taxes-and-benefits-by-household-decile/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/questions-on-permanent-staff-at-ons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/records-management-contracts/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/relation-between-british-macroeconomic-variables-and-its-stock-return-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/security-breaches-over-the-past-3-5-years-at-ons-newport/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/spending-on-equalities-and-diversity-schemes/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/staff-cost-to-produce-the-ons-maast-report/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/statistical-basis-and-reliability-of-uk-gdp-reporting/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/study-comparing-gdp-methodology-with-eu-countries/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/subject-access-requests-currently-held-or-processing/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/tax-statistics-for-the-last-100-years/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/the--lines-to-take--are-in-the-attachment-lines-to-take-2013-/index.html,2013,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/timeseries-of-disposable-income-and-measures-of-income-before-and-after-tax/index.html,,TNA,,
